id,Dummy,timeline_id,rank,predictions,Team
AuRED_139,A0,1551966453804531712,1,0.5743372440338135,KNK
AuRED_130,A0,1595690205381791745,1,0.17856009304523468,KNK
AuRED_007,A0,1230154022855827456,1,0.5980465412139893,KNK
AuRED_007,A0,1230088352776564736,2,0.4988044202327728,KNK
AuRED_007,A0,1229795597311451137,3,0.31546705961227417,KNK
AuRED_147,A0,1570088736259338240,1,0.27363285422325134,KNK
AuRED_068,A0,1300332268595146752,1,0.1329103708267212,KNK
AuRED_040,A0,1266672477272408064,1,0.1513330191373825,KNK
AuRED_040,A0,1265649630110507010,2,0.13456904888153076,KNK
AuRED_040,A0,1265626365400961024,3,0.13456904888153076,KNK
AuRED_040,A0,1266324977382555650,4,0.12719853222370148,KNK
AuRED_040,A0,1266483508299608072,5,0.1193590760231018,KNK
AuRED_067,A0,1292482758560948224,1,0.18775562942028046,KNK
AuRED_067,A0,1292149726289301505,2,0.18295998871326447,KNK
AuRED_067,A0,1290994898955653120,3,0.14296171069145203,KNK
AuRED_067,A0,1291770291958566914,4,0.11121782660484314,KNK
AuRED_156,A0,1423301571874631683,1,0.43225574493408203,KNK
AuRED_101,A0,1584501711066238976,1,0.48686087131500244,KNK
AuRED_120,A0,1577634686507139073,1,0.37843549251556396,KNK
AuRED_113,A0,1594709222641618944,1,0.7722796201705933,KNK
AuRED_113,A0,1594706817510215681,2,0.31092092394828796,KNK
AuRED_103,A0,1605306476129550339,1,0.9242633581161499,KNK
AuRED_103,A0,1605187543129096195,2,0.24315232038497925,KNK
AuRED_122,A0,1574397644449157121,1,0.23158617317676544,KNK
AuRED_122,A0,1575759310755311619,2,0.13919059932231903,KNK
AuRED_122,A0,1573537712853991432,3,0.10963226109743118,KNK
AuRED_126,A0,1572617531004964866,1,0.18116146326065063,KNK
AuRED_126,A0,1572963633742876672,2,0.15961483120918274,KNK
AuRED_126,A0,1572612173167316994,3,0.12667864561080933,KNK
AuRED_126,A0,1572970210373550080,4,0.12562191486358643,KNK
AuRED_092,A0,1473253268293918734,1,0.21931421756744385,KNK
AuRED_042,A0,1398269828889260033,1,0.13315309584140778,KNK
AuRED_042,A0,1397917883787743242,2,0.13315309584140778,KNK
AuRED_042,A0,1399385609001656325,3,0.13315309584140778,KNK
AuRED_042,A0,1399013832551510025,4,0.13315309584140778,KNK
AuRED_042,A0,1398626344200704002,5,0.13315309584140778,KNK
